Date,Strike,Call_Bid,Call_Ask,Call,Maturity,Put_Bid,Put_Ask,Put
5/11/2017,149,4.449999809,4.599999428,4.524999619,5/19/2017,0.280000031,0.290000021,0.285000026
5/11/2017,150,3.600000381,3.650000572,3.625000477,5/19/2017,0.389999986,0.410000026,0.400000006
5/11/2017,152.5,1.75,1.770000458,1.760000229,5/19/2017,1.019999504,1.039999962,1.029999733
5/11/2017,155,0.660000026,0.670000017,0.665000021,5/19/2017,2.420000076,2.440000534,2.430000305
5/11/2017,157.5,0.209999979,0.220000029,0.215000004,5/19/2017,4.400000572,4.550000191,4.475000381
5/11/2017,145,9.050000191,9.149999619,9.099999905,6/16/2017,0.709999979,0.720000029,0.715000004
5/11/2017,150,5.099999428,5.199999809,5.149999619,6/16/2017,1.75,1.770000458,1.760000229
5/11/2017,155,2.350000381,2.369999886,2.360000134,6/16/2017,3.949999809,4,3.974999905
5/11/2017,160,0.910000026,0.920000017,0.915000021,6/16/2017,7.449999809,7.600000381,7.525000095
5/11/2017,165,0.339999974,0.349999964,0.344999969,6/16/2017,11.89999962,12.05000019,11.9749999
5/11/2017,145,10.14999962,10.25,10.19999981,7/21/2017,1.590000153,1.609999657,1.599999905
5/11/2017,150,6.600000381,6.699999809,6.650000095,7/21/2017,3,3.050000191,3.025000095
5/11/2017,155,3.850000381,3.949999809,3.900000095,7/21/2017,5.25,5.350000381,5.300000191
5/11/2017,160,2.090000153,2.119999886,2.105000019,7/21/2017,8.5,8.550000191,8.525000095
5/11/2017,165,1.069999695,1.079999924,1.074999809,7/21/2017,12.39999962,12.60000038,12.5
5/11/2017,145,11.39999962,11.5,11.44999981,8/18/2017,2.949999809,2.980000496,2.965000153
5/11/2017,150,8.050000191,8.149999619,8.099999905,8/18/2017,4.650000572,4.75,4.700000286
5/11/2017,155,5.399999619,5.5,5.449999809,8/18/2017,7.050000191,7.100000381,7.075000286
5/11/2017,160,3.399999619,3.5,3.449999809,8/18/2017,10.05000019,10.19999981,10.125
5/11/2017,165,2.079999924,2.100000381,2.090000153,8/18/2017,13.75,13.85000038,13.80000019
5/11/2017,145,12.05000019,12.14999962,12.0999999,9/15/2017,3.650000572,3.699999809,3.675000191
5/11/2017,150,8.850000381,8.949999809,8.900000095,9/15/2017,5.449999809,5.5,5.474999905
5/11/2017,155,6.199999809,6.300000191,6.25,9/15/2017,7.800000191,7.900000572,7.850000381
5/11/2017,160,4.149999619,4.25,4.199999809,9/15/2017,10.75,10.85000038,10.80000019
5/11/2017,165,2.690000534,2.720000267,2.705000401,9/15/2017,14.25,14.39999962,14.32499981
5/11/2017,145,13.05000019,13.14999962,13.0999999,10/20/2017,4.5,4.599999428,4.549999714
5/11/2017,150,9.899999619,10,9.949999809,10/20/2017,6.350000381,6.449999809,6.400000095
5/11/2017,155,7.300000191,7.400000572,7.350000381,10/20/2017,8.699999809,8.800000191,8.75
5/11/2017,160,5.150000572,5.25,5.200000286,10/20/2017,11.60000038,11.69999981,11.6500001
5/11/2017,165,3.549999237,3.599999428,3.574999332,10/20/2017,15,15.10000038,15.05000019
5/11/2017,145,14,14.14999962,14.07499981,11/17/2017,5.650000572,5.699999809,5.675000191
5/11/2017,150,11,11.10000038,11.05000019,11/17/2017,7.599999428,7.699999809,7.649999619
5/11/2017,155,8.399999619,8.5,8.449999809,11/17/2017,10,10.10000038,10.05000019
5/11/2017,160,6.25,6.349999428,6.299999714,11/17/2017,12.89999962,13,12.94999981
5/11/2017,165,4.5,4.600000381,4.550000191,11/17/2017,16.1499939,16.25,16.19999695
5/11/2017,145,14.60000038,14.69999981,14.6500001,12/15/2017,6.199999809,6.300000191,6.25
5/11/2017,150,11.60000038,11.69999981,11.6500001,12/15/2017,8.199999809,8.300000191,8.25
5/11/2017,155,9,9.149999619,9.074999809,12/15/2017,10.60000038,10.75,10.67500019
5/11/2017,160,6.850000381,6.949999809,6.900000095,12/15/2017,13.39999962,13.60000038,13.5
5/11/2017,165,5.099999428,5.199999809,5.149999619,12/15/2017,16.6499939,16.80000305,16.72499847
5/11/2017,145,15.39999962,15.5,15.44999981,1/19/2018,6.900000572,7,6.950000286
5/11/2017,150,12.44999981,12.55000019,12.5,1/19/2018,8.949999809,9,8.974999905
5/11/2017,155,9.899999619,10,9.949999809,1/19/2018,11.35000038,11.44999981,11.4000001
5/11/2017,160,7.699999809,7.800000191,7.75,1/19/2018,14.10000038,14.25,14.17500019
5/11/2017,165,5.900000572,5.949999809,5.925000191,1/19/2018,17.30000305,17.3999939,17.34999847
5/11/2017,145,16.30000305,16.3999939,16.34999847,2/16/2018,7.900000572,8,7.950000286
5/11/2017,150,13.39999962,13.5,13.44999981,2/16/2018,9.949999809,10.05000019,10
5/11/2017,155,10.85000038,10.94999981,10.9000001,2/16/2018,12.39999962,12.5,12.44999981
5/11/2017,160,8.649999619,8.75,8.699999809,2/16/2018,15.14999962,15.30000019,15.2249999
5/11/2017,165,6.75,6.850000381,6.800000191,2/16/2018,18.25,18.3999939,18.32499695
